source,title,spec_owners,controls_indexed_in_prior_inventory,status
ui/driver/screens/ROUNDS-B01-TEAM-DRIVER-HOME-v4-10OF10.html,Rounds — Team driver home · Refresh 01.2,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,7,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B01B-TEAM-HOME-ROUND-ASSIGNED-v3-10OF10.html,Rounds — Round assigned · Refresh 01.2,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,10,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B01C-SHIFT-ENDED-SWITCH-TO-NETWORK-v2-10OF10.html,Rounds — Shift complete / Network availability,specs/product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md; specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,17,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B01D-SHIFT-ENDING-SOON-v3-10OF10.html,Rounds — Shift ending soon,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,15,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B01E-SHIFT-OVERTIME-v3-10OF10.html,Rounds — Shift overtime,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,15,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B01F-END-SHIFT-CONFIRM-v2-10OF10.html,Rounds — End shift confirmation,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,13,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B02-HOME-VERIFICATION-PENDING-v5-10OF10.html,Rounds — Home / verification pending,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,23,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-B03-HOME-NETWORK-AVAILABLE-v8-10OF10.html,Rounds — Network home,specs/product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md; specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,25,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-C01-SINGLE-DELIVERY-OFFER-v4-10OF10.html,Rounds — Single delivery offer,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,18,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-C03-MULTISTOP-OFFER-v5-10OF10.html,Rounds — Multi-stop offer,specs/product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md; specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,18,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-D01-NAVIGATE-TO-PICKUP-v5-10OF10.html,Rounds — Navigate to pickup · Refresh 02,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,13,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-D03-D04-PICKUP-CONFIRM-v6-10OF10.html,Rounds — Pickup confirmation · Refresh 02,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,14,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-E01-ACTIVE-ROUND-OVERVIEW-v5-10OF10.html,Rounds — Active round,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,14,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-E02-NAVIGATE-TO-CURRENT-STOP-v2-10OF10.html,Rounds — Navigate to Stop 1,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,13,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-E04-E05-E06-LIVE-ROUND-CHANGE-v3-10OF10.html,Rounds — E04/E05/E06 Live Round Change v3,specs/product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md; specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,5,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-F01-F02-DROPOFF-HANDOFF-v3-10OF10.html,Rounds — Delivery handoff,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,13,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-F03-F04-PROOF-OF-DELIVERY-v6-10OF10.html,Rounds — Proof of delivery,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,22,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-F08-STOP-COMPLETE-NEXT-STOP-v4-10OF10.html,Rounds — Stop complete and next delivery,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,7,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-G01-RECIPIENT-UNAVAILABLE-v2-10OF10.html,Rounds — Recipient unavailable,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,24,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-G02-ADDRESS-PROBLEM-v2-10OF10.html,Rounds — Location problem,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,44,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-G03-PACKAGE-PROBLEM-v3-10OF10.html,Rounds — Package problem,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,27,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-G04-CANNOT-COMPLETE-DELIVERY-v2-10OF10.html,Rounds — Cannot complete delivery,specs/product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md; specs/engineering/E05-DRIVER-OFFLINE-STORAGE-AND-EVIDENCE.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,38,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-G05-DRIVER-EMERGENCY-v2-10OF10.html,Rounds — Driver emergency,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,18,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-H01-OPERATOR-CHAT-v4-10OF10.html,Rounds — Operations chat,specs/product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,33,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-H02-CALL-CONTACT-v2-10OF10.html,Rounds — Call Operations,specs/product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,15,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-H03-CONTACT-HISTORY-v2-10OF10.html,Rounds — Contact history,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,12,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-I01-ROUND-COMPLETE-v3-10OF10.html,Rounds — Round complete,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,4,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-J01-MY-ROUNDS-v7-10OF10.html,Rounds — My rounds,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,15,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-K00-TEAM-HOURS-v5-10OF10.html,Rounds — Team hours,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,14,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-K01-EARNINGS-v3-10OF10.html,Rounds — Network earnings,specs/product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md; specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,21,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-L01-DRIVER-PROFILE-v3-10OF10.html,Rounds — Driver profile,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,47,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-M01-NOTIFICATIONS-v2-10OF10.html,Rounds — Notifications,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,14,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-N01-PERMISSIONS-v3-10OF10.html,Rounds — Permissions,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,9,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-N02-OFFLINE-RECONNECTING-v1-10OF10.html,Rounds — Connection recovery,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,12,Approved source preserved; interaction coverage not certified
ui/driver/screens/ROUNDS-N03-GPS-UNAVAILABLE-v3-10OF10.html,Rounds — GPS unavailable,specs/product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md; specs/product/P14-APPROVED-UX-DRIVER-COVERAGE-AND-LOCALIZATION.md,17,Approved source preserved; interaction coverage not certified
