feature_id,scope,spec,commands,queries_or_surface,tables,acceptance_ids,definition_status,implementation_status,design_followup,review_notes,coverage,system_tables
IN-10,Preserve existing manual input when autofill arrives; retain incomplete source on read failure; prevent wrong-city draft contamination.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,SaveDeliveryDraft,,intake_drafts,QA-IN-10,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
IN-11,Document upload/draft limits and timeouts as configurable operational limits.,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,SavePolicy,,policy_bindings,QA-IN-11,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-01,"Address suggestions, business matches, manual map pin/coordinates and explicit location confirmation.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,ReviewAddress,,intake_drafts,QA-AD-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-02,"AI correction card: Original / Suggested, changed text, reason, source and review checkbox; confirm, edit or keep original.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,ReviewAddress,,intake_drafts,QA-AD-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-03,"Pending correction blocks assignment, plan release, broadcast and intercity manifest eligibility; correcting text invalidates old pin.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,StartBroadcast; ReleasePlan,,broadcasts; plans,QA-AD-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-04,"Preserve house/building, soi, district, province, postcode, floor and unit; show conflicts for review rather than inventing values.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,ReviewAddress,,intake_drafts,QA-AD-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-05,"Entrance panel with recipient/location, verification state, access and handoff notes; edit pin and notes together where allowed.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,ConfirmEntrance,,entrances,QA-AD-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-06,"Dedicated Google Street View surface with same target, return, previous/next target, external fallback and connection settings.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,,UI,,QA-AD-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
AD-07,"Street View loading, slow response, offline, retry, missing pin/key and stale-target protection.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,,UI,,QA-AD-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
AD-08,Remembered exact address matches scoped to business.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,,GetEntrance,,QA-AD-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
AD-09,"Reusable confirmed entrance record with access/parking/handoff notes, source, confirmer/date and revision; offer Use saved entrance / Review and edit.",product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,ConfirmEntrance; ApplyEntrance,,deliveries; entrances,QA-AD-09;QA-V21-ENTRANCE-CAUSE,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-10,Correct or retire saved entrance information; preserve history and unit-specific delivery details; uncertain matches never silently auto-apply.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,RetireEntrance,,entrances,QA-AD-10,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-11,Driver wrong-address evidence and successful delivery feedback inform reviewable entrance knowledge.,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,ReportLocationObservation,,location_observations,QA-AD-11,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
AD-12,"Group several recipients at a building into one physical visit while preserving individual promises, manifests and proof.",product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,,Deferred,,QA-AD-12,deferred,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DI-01,"Action, Ready, on-road/live and completed delivery views with search, window/brand filters, priority and honest counts.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,,GetBoard,,QA-DI-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DI-02,"Delivery detail shows items, promise, preparation, assignment, source, journey, issue, next action and evidence links.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,,GetDelivery,,QA-DI-02;QA-SYSTEM-QUERY-CLOSURE,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DI-03,"Resolve missing pin, approval, preparation and recipient issues from their delivery context.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,ResolveIssue,,issues,QA-DI-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-04,Preparation/packing checklist before pickup; shared structured item lines and quantities.,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,SetPickupReadiness; ConfirmPickup,,deliveries; manifests,QA-DI-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-05,"Release own-driver work; observe acknowledgement/decline; start, load, depart, progress, return and reload.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ReleasePlan; AcknowledgeAssignment,,assignments; plans,QA-DI-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-06,"Current stop, next stop, arrival, promise risk, remaining route and driver free-after estimate.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,,GetDriverRound,,QA-DI-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
DI-07,"Failures, retry, reschedule, cancellation, return and receipt keep previous attempts and custody evidence.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,RescheduleDelivery,,deliveries,QA-DI-07;QA-SYSTEM-RETURN-PARTIAL,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-08,"Own-driver live reassignment/transfer with feasibility, pending response, source preservation and explicit custody.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ReassignRound; ConfirmTransferReceipt,,custody_transfers; rounds,QA-DI-08;QA-SYSTEM-TRANSFER-ACTOR,specified,Not certified by this specification revision,Required interaction follow-through,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-09,Edit live destination/pin/window/instructions after pickup with impact review and driver acknowledgement.,product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,ProposeChange,,rounds,QA-DI-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-10,"Protected collected manifests; no removal, cancellation or assignment change makes physical parcels disappear.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,CancelDelivery,,deliveries,QA-DI-10;QA-SYSTEM-SEALED-MANIFEST,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
DI-11,"Keep resolved/completed work and historical references when a plan, source, driver or optional feature changes.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,ArchiveFleetResource,,vehicles,QA-DI-11,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-01,"Date-specific Unplanned pool, map and driver lanes with sequential Rounds, stop cards and selected-route detail.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,GeneratePlan,,plans,QA-PL-01;QA-V21-TRUCK-REALLOCATION,specified,Not certified by this specification revision,Required interaction follow-through,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-02,"Plan remaining / generate proposal; show coverage, unplanned work and constraints; operator reviews before release.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,GeneratePlan,,plans,QA-PL-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-03,"Create/edit a Round, departure, pickup, driver, vehicle, delivery window and service time.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,"SaveRound,SaveStopPlanningFields,PreviewPlanMove,ApplyPlanProposal",,plans,QA-PL-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-04,Drag a whole Round between drivers/times; transfer a stop between Rounds; insert/reorder or return to Unplanned.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,PreviewPlanMove; ApplyPlanProposal,,plans,QA-PL-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-05,"Timeline scale/zoom, stop tooltip/detail, fit Round, return/reload gaps and visible shift boundaries.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,,UI,,QA-PL-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
PL-06,"Vehicle max stops, cargo-class quantities, overall cargo, special handling, shift, overlap and pickup-transfer checks.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ApplyPlanProposal,,plans,QA-PL-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-07,Capacity is per departure; repeat Rounds after travel back and reload; include that time in next availability.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,GeneratePlan,,plans,QA-PL-07;QA-V21-CAPACITY-READOUT,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-08,Route-improvement comparison and selected route geometry; apply only a chosen proposal.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,PreviewPlanMove,,plans,QA-PL-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-09,"Before/after move review: affected drivers, loads, return/free times, arrival changes, late minutes and conflicts.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,PreviewPlanMove,,plans,QA-PL-09,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-10,Keep current / Recheck / Apply; unavailable routing blocks comparison apply; stale inputs invalidate proposal; apply atomically.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ApplyPlanProposal,,plans,QA-PL-10,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-11,Timing policy warns with explicit override or blocks; physical incompatibility remains blocking.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ApplyPlanProposal,,plans,QA-PL-11,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-12,"Save draft, explicit release review, uncovered-work acknowledgement, released snapshots and driver response state.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,StagePlan; ReleasePlan,,plans,QA-PL-12;QA-SYSTEM-PREARRIVAL,specified,Not certified by this specification revision,Required interaction follow-through,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-13,Add later work through incremental releases while protecting already started/released Rounds.,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,ReleasePlan,,plans,QA-PL-13,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
PL-14,"Full recurring schedules, date exceptions, special days and overnight operating-day model.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,SaveShiftTemplate; SetShiftOccurrence,,shift_occurrences; shift_templates,QA-PL-14;QA-SYSTEM-DST,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-01,"City fleet directory, search, driver details/contact, current/upcoming Rounds and date-scoped work.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,,GetDrivers,,QA-FL-01;QA-V21-DRIVER-VISIBILITY,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,
FL-02,"Add/edit drivers, default weekdays/hours/vehicle, shift-specific edits, archive/restore with outstanding-work protection.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SaveDriverRelationship; SetShiftOccurrence,,driver_relationships; shift_occurrences,QA-FL-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-03,"Available, off shift, unavailable, loading, on Round, returning/reloading and projected free-after.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SetShiftAvailability,,shift_occurrences,QA-FL-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-04,"Add/edit vehicles, profile, capacity overrides, in-service/unavailable and affected-work warnings.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SaveVehicle; BindShiftVehicle,,shift_occurrences; vehicles,QA-FL-04;QA-V21-VEHICLE-OVERLAP,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-05,"Bike, car, van and tuk-tuk profiles; reusable cargo/handling and stop limits.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,SaveVehicleProfile,,vehicle_profiles,QA-FL-05,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-06,"Additional vehicle types, including intercity trucks, without florist-specific assumptions.",product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,SaveVehicleProfile,,vehicle_profiles,QA-FL-06,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-07,Team assignment versus freelance open-for-work relationship; any legacy Partner category must not bypass freelancer consent.,product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,SetAvailability,,drivers,QA-FL-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
FL-08,"Known/preferred freelancer directory, structured Ask availability and opt-in pre-job relationship contact.",product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,AskAvailability; SetContactPermissions,,driver_relationships,QA-FL-08;QA-V21-LATER-AVAILABILITY,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-01,"Operator opens composer from delivery/Round or Broadcasts; explicitly starts search whenever needed, independent of own capacity.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,StartBroadcast,,broadcasts,QA-BC-01,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-02,"Single-delivery or multi-stop Round offer with pickup-ready time, city/date, scope, windows, vehicle, load and guaranteed total fare.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,StartBroadcast,,broadcasts,QA-BC-02,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-03,"Nearest-first widening areas, configurable radii/response periods, visible wave and countdown.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,ExpandBroadcast,,broadcasts,QA-BC-03,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-04,Many independent city broadcasts; filter by city/status and return to each accepted job.,product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,,GetBroadcasts,,QA-BC-04,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
BC-05,"Stop, expand, no acceptance, restart or raise fare under operator control; preserve selected scope/version.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,StopBroadcast; RestartBroadcast,,broadcasts,QA-BC-05;QA-V21-EVENT-STATE,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-06,"Eligible open freelancers only; vehicle/load/city/availability checks; one acceptance winner, stale/race-loss/decline handling.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,RespondOffer,,offers,QA-BC-06,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-07,"Before acceptance show approximate supply, aggregate/cluster at low zoom, no other merchant routes or exact GPS.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,,GetNetworkSupply,,QA-BC-07,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,
BC-08,"After acceptance show assigned freelancer, relevant job tracking, direct contact, arrival at pickup and pickup issues.",product/P09-MESSAGES-CALLS-AND-NOTIFICATIONS.md,OpenConversation; ConfirmArrival,,conversations; stops,QA-BC-08,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-09,"Itemized verified pickup changes custody; subsequent arrivals, handoff/POD, failed attempts, retry and completion.",product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,ConfirmPickup; CompleteDelivery,,delivery_attempts; manifests,QA-BC-09;QA-V21-REVISION-OWNER,specified,Not certified by this specification revision,,V2.1 recovered-detail or defect case linked,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-10,"Freelancer return proposal/consent, return arrival, received quantities and receipt evidence.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,ProposeChange; ReceiveReturn,,return_tasks; rounds,QA-BC-10,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-11,"Before-pickup change proposal: add/remove/reorder stops, window/fare changes, reason, response deadline and history.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,ProposeChange,,rounds,QA-BC-11;QA-SYSTEM-AGREEMENT-REVISION,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
BC-12,"Decline, withdrawal, expiry, changed sources, wrong actor and repeated response cannot partially overwrite accepted work.",product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,RespondChange,,change_proposals,QA-BC-12,specified,Not certified by this specification revision,,Retained requirement; review alongside governing contract,Written requirement plus linked journey where applicable; no runtime certification,command_receipts; domain_events; outbox_events; consumer_receipts
