id,feature_ids,spec,layer,fixture,actor,commands,steps,expected,status,owner,evidence,environment,expected_events,coverage
QA-IN-03,IN-03,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for CreateIntakeBatch; identity/tenant from fixture, with negative actor when specified",CreateIntakeBatch,Set up named fixture; execute CreateIntakeBatch under the condition in expected outcome; query affected records and compare committed events.,Paste one text source and one image: resulting draft retains both source identities; no outgoing chat message is created.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-04,IN-04,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ExtractDraft; identity/tenant from fixture, with negative actor when specified",ExtractDraft,Set up named fixture; execute ExtractDraft under the condition in expected outcome; query affected records and compare committed events.,Use a Thai image then an OCR timeout: successful fields remain editable; timeout preserves source and draft and returns processing failure without committing delivery.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-05,IN-05,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ExtractDraft,ReviewAddress; identity/tenant from fixture, with negative actor when specified","ExtractDraft,ReviewAddress","Set up named fixture; execute ExtractDraft,ReviewAddress under the condition in expected outcome; query affected records and compare committed events.",AI changes house number12 to21: source12 and suggested21 both display; CommitDelivery returns ADDRESS_REVIEW_REQUIRED until explicit review.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-06,IN-06,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for CommitIntakeBatch; identity/tenant from fixture, with negative actor when specified",CommitIntakeBatch,Set up named fixture; execute CommitIntakeBatch under the condition in expected outcome; query affected records and compare committed events.,"Batch has three drafts, one invalid phone: two succeed with named child IDs; invalid child returns a field error; retry original command creates zero duplicates.",Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-07,IN-07,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for CreateIntakeBatch; identity/tenant from fixture, with negative actor when specified",CreateIntakeBatch,Set up named fixture; execute CreateIntakeBatch under the condition in expected outcome; query affected records and compare committed events.,Import a two-row CSV and two-page PDF: both enter the same review queue; unsupported format or page101 rejects before extracting children.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-08,IN-08,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SavePolicy; identity/tenant from fixture, with negative actor when specified",SavePolicy,Set up named fixture; execute SavePolicy under the condition in expected outcome; query affected records and compare committed events.,Save city/site/window intake defaults: new draft uses selected tenant values; a draft explicitly set to another permitted site is not overwritten.,Written requirement; implementation test not executed,QA + P13,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-09,IN-09,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for CommitDelivery; identity/tenant from fixture, with negative actor when specified",CommitDelivery,Set up named fixture; execute CommitDelivery under the condition in expected outcome; query affected records and compare committed events.,Commit an approved draft with preparing goods: delivery exists in Unplanned with preparation state; no assignment/broadcast is created.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-10,IN-10,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SaveDeliveryDraft; identity/tenant from fixture, with negative actor when specified",SaveDeliveryDraft,Set up named fixture; execute SaveDeliveryDraft under the condition in expected outcome; query affected records and compare committed events.,AI response for draft revision3 arrives after manual revision4: revision4 remains intact and source suggestion is marked stale.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-IN-11,IN-11,product/P13-SETTINGS-POLICY-AND-ADMINISTRATION.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SavePolicy; identity/tenant from fixture, with negative actor when specified",SavePolicy,Set up named fixture; execute SavePolicy under the condition in expected outcome; query affected records and compare committed events.,Set max_batch_drafts501 or upload20971521 bytes: reject POLICY_OUT_OF_BOUNDS/VALIDATION_FAILED; previous policy and draft remain unchanged.,Written requirement; implementation test not executed,QA + P13,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-01,AD-01,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Dispatcher with independent deliveries.review; negative actor/city/tenant and revoked grants",ReviewAddress,"Review exact current root/input hash; race SaveDeliveryDraft; lose committed HTTP response; inject post-write failure","Preserve operator-selected text/point and immutable input/output review history. Text-only approval remains review_needed and never confirms entrance or creates admission/preparation/custody/delivery. Replay/status returns original result; stale/foreign/revoked access rejects; rollback leaves no partial revision/review/fact/outbox.",Required acceptance; local evidence separately fingerprinted,QA + P02,See Build Spec checkpoint for actual run and remaining UI/provider gates,Isolated restricted database/API,,address.reviewed exactly once; no unrelated physical or admission event
QA-AD-02,AD-02,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ReviewAddress; negative actor/city/tenant",ReviewAddress,"Accept/edit/reject current suggestion; retry expired/superseded/wrong-input suggestion; manually edit afterward","Accept exactly matches proposal; reject keeps original; edit records selected replacement. Preserve before/proposed/selected and reviewer/time. Stale/foreign suggestion rejects intact; later manual edit invalidates review while preserving history. Imported source drafts stay blocked pending compatibility adapter.",Required acceptance; local evidence separately fingerprinted,QA + P02,See Build Spec checkpoint for actual run and remaining UI/provider gates,Isolated restricted database/API,,address.reviewed with actual changes; no geocoder-only entrance confirmation
QA-AD-03,AD-03,product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for StartBroadcast,ReleasePlan; identity/tenant from fixture, with negative actor when specified","StartBroadcast,ReleasePlan","Set up named fixture; execute StartBroadcast,ReleasePlan under the condition in expected outcome; query affected records and compare committed events.",An unresolved destination correction produces ADDRESS_REVIEW_REQUIRED on both operations; no claim or release is committed.,Written requirement; implementation test not executed,QA + P07,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-04,AD-04,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ReviewAddress; identity/tenant from fixture, with negative actor when specified",ReviewAddress,Set up named fixture; execute ReviewAddress under the condition in expected outcome; query affected records and compare committed events.,Thai house/soi/floor/unit conflict fixture: all original components remain visible; no invented postcode appears in committed address.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-05,AD-05,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ConfirmEntrance; identity/tenant from fixture, with negative actor when specified",ConfirmEntrance,Set up named fixture; execute ConfirmEntrance under the condition in expected outcome; query affected records and compare committed events.,Edit entrance point and handoff notes together: one revision is created and both fields return from GetEntrance.,Written requirement; implementation test not executed,QA + P10,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-06,AD-06,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,"Open Street View for D1, then next D2: Google surface targets D2; close returns to D2 on the existing Operations map.",Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-07,AD-07,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,visual_interaction,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for UI; identity/tenant from fixture, with negative actor when specified",UI,Set up named fixture; execute UI under the condition in expected outcome; query affected records and compare committed events.,Remove key or use a location with unavailable imagery: loading ends in explicit unavailable/retry state; no blank pane labelled ready.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,UI prototype,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-08,AD-08,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GetEntrance; identity/tenant from fixture, with negative actor when specified",GetEntrance,Set up named fixture; execute GetEntrance under the condition in expected outcome; query affected records and compare committed events.,Exact address lookup in tenant B returns no tenant A remembered address even when text matches.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-09,AD-09,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ConfirmEntrance,ApplyEntrance; identity/tenant from fixture, with negative actor when specified","ConfirmEntrance,ApplyEntrance","Set up named fixture; execute ConfirmEntrance,ApplyEntrance under the condition in expected outcome; query affected records and compare committed events.",Confirm entrance revision2 then apply to D2: D2 references revision2 and preserves its own floor/unit and delivery instructions.,Written requirement; implementation test not executed,QA + P10,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-10,AD-10,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for RetireEntrance; identity/tenant from fixture, with negative actor when specified",RetireEntrance,Set up named fixture; execute RetireEntrance under the condition in expected outcome; query affected records and compare committed events.,Retire a saved entrance: it is excluded from new suggestions while historical delivery references still resolve the old revision.,Written requirement; implementation test not executed,QA + P10,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-11,AD-11,product/P10-MAPS-NAVIGATION-AND-LOCATION-KNOWLEDGE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ReportLocationObservation; identity/tenant from fixture, with negative actor when specified",ReportLocationObservation,Set up named fixture; execute ReportLocationObservation under the condition in expected outcome; query affected records and compare committed events.,Driver reports wrong entrance: observation is proposed and original confirmed entrance remains current until authorized review.,Written requirement; implementation test not executed,QA + P10,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-AD-12,AD-12,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,scope_review,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for Deferred; identity/tenant from fixture, with negative actor when specified",Deferred,Set up named fixture; execute Deferred under the condition in expected outcome; query affected records and compare committed events.,Building-level grouping stays outside current release; separate recipients retain separate delivery/manifests/proof; no merged completion command appears.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-01,DI-01,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GetBoard; identity/tenant from fixture, with negative actor when specified",GetBoard,Set up named fixture; execute GetBoard under the condition in expected outcome; query affected records and compare committed events.,Filter Action by brand B1: displayed count equals returned rows and selecting a row shows the same delivery ID.,Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-02,DI-02,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GetDelivery; identity/tenant from fixture, with negative actor when specified",GetDelivery,Set up named fixture; execute GetDelivery under the condition in expected outcome; query affected records and compare committed events.,"D1 detail includes manifest ID, proof policy version, preparation, assignment, inbound dependency and evidence references required for next commands.",Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-03,DI-03,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ResolveIssue; identity/tenant from fixture, with negative actor when specified",ResolveIssue,Set up named fixture; execute ResolveIssue under the condition in expected outcome; query affected records and compare committed events.,Resolve address/recipient issue for D1: only that issue version changes and follow-up action is recorded on D1.,Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-04,DI-04,product/P02-DELIVERY-INTAKE-AND-ADDRESS-REVIEW.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for SetPickupReadiness,ConfirmPickup; identity/tenant from fixture, with negative actor when specified","SetPickupReadiness,ConfirmPickup","Set up named fixture; execute SetPickupReadiness,ConfirmPickup under the condition in expected outcome; query affected records and compare committed events.",Five expected units with one unchecked/missing line: normal full pickup rejects; ready signal alone produces no custody movement.,Written requirement; implementation test not executed,QA + P02,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-05,DI-05,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ReleasePlan,AcknowledgeAssignment; identity/tenant from fixture, with negative actor when specified","ReleasePlan,AcknowledgeAssignment","Set up named fixture; execute ReleasePlan,AcknowledgeAssignment under the condition in expected outcome; query affected records and compare committed events.",Release R1 then driver reports cannot_comply: assignment stays visible with action required and departure blocked until operator resolution.,Written requirement; implementation test not executed,QA + P04,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-06,DI-06,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GetDriverRound; identity/tenant from fixture, with negative actor when specified",GetDriverRound,Set up named fixture; execute GetDriverRound under the condition in expected outcome; query affected records and compare committed events.,"After S1 completed, current/next stop IDs advance exactly once; free_after includes remaining travel, return and reload minutes.",Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-07,DI-07,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for RescheduleDelivery; identity/tenant from fixture, with negative actor when specified",RescheduleDelivery,Set up named fixture; execute RescheduleDelivery under the condition in expected outcome; query affected records and compare committed events.,"Failed D1 moves to next day's slot: same delivery ID, original failed attempt preserved, one new active reservation and next release creates a new attempt.",Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-08,DI-08,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ReassignRound,ConfirmTransferReceipt; identity/tenant from fixture, with negative actor when specified","ReassignRound,ConfirmTransferReceipt","Set up named fixture; execute ReassignRound,ConfirmTransferReceipt under the condition in expected outcome; query affected records and compare committed events.",Reassign collected goods from S to N: assignment update alone gives N zero goods; N-authenticated physical receipt transfers the specified balance once.,Written requirement; implementation test not executed,QA + P04,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-09,DI-09,product/P07-FREELANCE-BROADCAST-ACCEPTANCE-AND-CHANGES.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ProposeChange; identity/tenant from fixture, with negative actor when specified",ProposeChange,Set up named fixture; execute ProposeChange under the condition in expected outcome; query affected records and compare committed events.,Team destination instruction changes current target with new version and acknowledgement pending; collected manifest quantity stays5.,Written requirement; implementation test not executed,QA + P07,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-10,DI-10,product/P05-EXECUTION-CUSTODY-PROOF-AND-EXCEPTIONS.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for CancelDelivery; identity/tenant from fixture, with negative actor when specified",CancelDelivery,Set up named fixture; execute CancelDelivery under the condition in expected outcome; query affected records and compare committed events.,Cancel after pickup5: quantity 5 remains in held/return/transfer/disposition ledger; no DELETE removes those facts.,Written requirement; implementation test not executed,QA + P05,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-DI-11,DI-11,product/P06-DRIVER-IDENTITY-FLEET-AND-WORK-MODES.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for ArchiveFleetResource; identity/tenant from fixture, with negative actor when specified",ArchiveFleetResource,Set up named fixture; execute ArchiveFleetResource under the condition in expected outcome; query affected records and compare committed events.,"Archive driver after delivery completion: old proof, driver identity and source references still display in History.",Written requirement; implementation test not executed,QA + P06,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
QA-PL-01,PL-01,product/P04-PLANNING-ROUTING-AND-TEAM-RELEASE.md,domain_integration,"FIXTURES.md; A/B, D1–D5/DQ, T1, S/N/F1/F2, SL1/SL2 as named","Authorized actor for GeneratePlan; identity/tenant from fixture, with negative actor when specified",GeneratePlan,Set up named fixture; execute GeneratePlan under the condition in expected outcome; query affected records and compare committed events.,"At 07:00 with inbound ETA 09:00, all five expected destination deliveries appear in the Plan pool and can be placed in driver lanes.",Written requirement; implementation test not executed,QA + P04,Not executed; attach run ID and observed assertions during implementation,Isolated test database/API or named device harness,,Behavior case written; event assertions not yet specified in this legacy case
